UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,anomaly,score
178,L47357,L,298.2,308.2,1988,21.4,41,0,0,0,0,0,0,0,0.033737301411227216
179,L47358,L,298.2,308.2,1436,50.2,43,0,0,0,0,0,0,0,0.13325733971374804
180,L47359,L,298.2,308.3,1304,49.8,45,0,0,0,0,0,0,0,0.10287961664300088
181,L47360,L,298.2,308.3,1475,49.9,47,0,0,0,0,0,0,0,0.13405997513680873
182,H29595,H,298.2,308.3,1824,24.2,49,0,0,0,0,0,0,0,0.08580648494035459
183,M15042,M,298.1,308.2,1342,48.1,54,0,0,0,0,0,0,0,0.121563222568642
184,L47363,L,298.1,308.2,1485,40.7,57,0,0,0,0,0,0,0,0.15776418567288408
185,L47364,L,298.2,308.2,1667,30.6,59,0,0,0,0,0,0,0,0.13089370933474753
186,L47365,L,298.2,308.2,1446,38.2,61,0,0,0,0,0,0,0,0.14989157952558058
187,L47366,L,298.1,308.3,1301,56.0,63,0,0,0,0,0,0,0,0.09725048929998192
188,L47367,L,298.2,308.4,1379,43.1,65,0,0,0,0,0,0,0,0.1472346665555962
189,L47368,L,298.3,308.5,1606,33.6,67,0,0,0,0,0,0,0,0.14833776297262835
190,M15049,M,298.3,308.4,1539,43.4,69,0,0,0,0,0,0,0,0.1547827703463278
191,L47370,L,298.2,308.4,1477,49.9,72,0,0,0,0,0,0,0,0.14042436064041725
192,L47371,L,298.2,308.4,1666,34.6,74,0,0,0,0,0,0,0,0.13509128683720895
193,H29606,H,298.2,308.4,1398,51.8,76,0,0,0,0,0,0,0,0.13184407034744533
194,H29607,H,298.2,308.4,1678,34.6,81,0,0,0,0,0,0,0,0.13454504484483526
196,L47375,L,298.3,308.5,1453,42.9,89,0,0,0,0,0,0,0,0.16088519263803208
197,H29610,H,298.3,308.6,1432,49.5,91,0,0,0,0,0,0,0,0.15371645306392073
198,M15057,M,298.4,308.6,1527,40.9,96,0,0,0,0,0,0,0,0.17151900988163848
199,L47378,L,298.4,308.7,1588,35.0,99,0,0,0,0,0,0,0,0.16306716408790334
200,L47379,L,298.4,308.6,1433,47.1,101,0,0,0,0,0,0,0,0.16320921737307714
201,L47380,L,298.4,308.6,1609,35.0,103,0,0,0,0,0,0,0,0.15490528914622043
202,L47381,L,298.3,308.5,1575,41.2,105,0,0,0,0,0,0,0,0.15273237365116288
203,M15062,M,298.4,308.5,1636,35.7,107,0,0,0,0,0,0,0,0.14875126837966268
204,L47383,L,298.4,308.5,1490,37.9,110,0,0,0,0,0,0,0,0.17036797106183066
205,L47384,L,298.4,308.5,1741,32.8,112,0,0,0,0,0,0,0,0.13005935393805346
206,M15065,M,298.5,308.6,1344,53.0,114,0,0,0,0,0,0,0,0.13424245878072788
207,L47386,L,298.5,308.7,1609,35.3,117,0,0,0,0,0,0,0,0.15832016718611436
208,M15067,M,298.4,308.7,1421,60.7,119,1,0,0,1,0,0,0,0.10494105542931675
209,L47388,L,298.4,308.6,1591,36.7,122,0,0,0,0,0,0,0,0.160103671358236
210,L47389,L,298.4,308.6,1477,44.0,124,0,0,0,0,0,0,0,0.1676886190498223
211,L47390,L,298.4,308.7,1523,36.1,126,0,0,0,0,0,0,0,0.17197917309220861
212,L47391,L,298.5,308.7,1575,33.9,128,0,0,0,0,0,0,0,0.1640565235976046
213,H29626,H,298.4,308.7,1344,52.9,130,0,0,0,0,0,0,0,0.1316637731271415
214,L47393,L,298.4,308.7,1386,44.9,135,0,0,0,0,0,0,0,0.16109942912442893
215,M15074,M,298.3,308.6,1589,37.1,137,0,0,0,0,0,0,0,0.1557970482931353
216,L47395,L,298.3,308.6,1548,40.3,140,0,0,0,0,0,0,0,0.16334808902328413
217,L47396,L,298.3,308.6,1499,38.3,142,0,0,0,0,0,0,0,0.16595995067578545
218,L47397,L,298.3,308.5,1664,31.6,144,0,0,0,0,0,0,0,0.1432055577092301
219,L47398,L,298.3,308.6,1447,38.1,146,0,0,0,0,0,0,0,0.16059561275226286
220,M15079,M,298.3,308.5,1434,46.2,148,0,0,0,0,0,0,0,0.15965410950298925
221,L47400,L,298.3,308.5,1416,52.7,151,0,0,0,0,0,0,0,0.14243036555707927
222,H29635,H,298.4,308.5,1827,24.3,153,0,0,0,0,0,0,0,0.08807492861236144
223,L47402,L,298.4,308.6,1304,45.0,158,0,0,0,0,0,0,0,0.12332089836030657
224,L47403,L,298.4,308.6,1569,34.4,160,0,0,0,0,0,0,0,0.15886097733117388
225,L47404,L,298.3,308.6,1584,29.3,162,0,0,0,0,0,0,0,0.1435145451107419
226,L47405,L,298.3,308.5,1362,53.8,164,0,0,0,0,0,0,0,0.1264394553235746
227,L47406,L,298.3,308.4,1329,49.2,166,0,0,0,0,0,0,0,0.12184346973334276
228,L47407,L,298.3,308.5,1539,36.1,168,0,0,0,0,0,0,0,0.152789078460617
229,M15088,M,298.3,308.5,1629,37.1,170,0,0,0,0,0,0,0,0.1355874503789763
230,L47409,L,298.3,308.5,1538,32.2,173,0,0,0,0,0,0,0,0.14271563259144981
231,L47410,L,298.3,308.6,1570,34.8,175,0,0,0,0,0,0,0,0.14959509650641223
232,L47411,L,298.3,308.4,1408,43.1,177,0,0,0,0,0,0,0,0.15023183602516849
233,L47412,L,298.2,308.4,1424,47.6,179,0,0,0,0,0,0,0,0.1488443358555666
234,L47413,L,298.2,308.4,1512,34.9,181,0,0,0,0,0,0,0,0.14385586687293617
235,L47414,L,298.2,308.4,1478,42.9,183,0,0,0,0,0,0,0,0.15217894257490266
236,M15095,M,298.1,308.3,1680,33.7,185,0,0,0,0,0,0,0,0.11741897774731869
237,L47416,L,298.1,308.3,1495,38.7,188,0,0,0,0,0,0,0,0.14048238898462317
238,M15097,M,298.0,308.1,1552,36.6,190,0,0,0,0,0,0,0,0.12853727525965536
239,L47418,L,297.9,308.1,1393,50.3,193,0,0,0,0,0,0,0,0.11342247915298292
240,L47419,L,298.0,308.2,1611,30.6,195,0,0,0,0,0,0,0,0.1156914405091069
241,M15100,M,298.0,308.1,1339,51.6,197,0,0,0,0,0,0,0,0.09810769774513078
242,L47421,L,298.0,308.1,1777,24.3,200,0,0,0,0,0,0,0,0.05239748023654456
243,L47422,L,298.0,308.2,1348,58.8,202,1,0,0,0,1,0,0,0.06642225832928361
244,L47423,L,298.0,308.2,1442,44.1,204,0,0,0,0,0,0,0,0.12759102381124487
245,M15104,M,298.0,308.2,1395,49.1,206,0,0,0,0,0,0,0,0.1077795680858199
246,M15105,M,297.9,308.1,1627,31.4,209,0,0,0,0,0,0,0,0.09478361704454702
247,L47426,L,297.9,308.1,1585,33.5,212,0,0,0,0,0,0,0,0.09229914525014721
248,L47427,L,298.0,308.2,1469,45.5,214,0,0,0,0,0,0,0,0.10297880573652007
249,L47428,L,298.0,308.3,1362,56.8,216,1,0,0,0,1,0,0,0.04937509161528364
250,L47429,L,298.0,308.3,1405,56.2,218,1,0,0,0,1,0,0,0.05232283370229163
251,L47430,L,298.0,308.3,1662,32.7,0,0,0,0,0,0,0,0,0.09136701606172848
252,M15111,M,298.0,308.2,1466,42.6,2,0,0,0,0,0,0,0,0.11337056708577647
253,L47432,L,298.0,308.2,1620,35.8,5,0,0,0,0,0,0,0,0.10840248695304544
254,L47433,L,298.0,308.2,1357,48.2,7,0,0,0,0,0,0,0,0.09825231659468686
255,L47434,L,298.0,308.2,1514,37.9,9,0,0,0,0,0,0,0,0.12657235638493258
256,L47435,L,298.0,308.2,1489,40.4,11,0,0,0,0,0,0,0,0.13263174825115648
257,L47436,L,298.1,308.3,1331,63.0,13,0,0,0,0,0,0,0,0.04474345990979345
258,L47437,L,298.0,308.0,1615,29.5,15,0,0,0,0,0,0,0,0.10016558770738498
259,L47438,L,298.1,308.2,1482,37.9,17,0,0,0,0,0,0,0,0.1355185224381108
260,M15119,M,298.1,308.2,1420,63.9,19,1,0,0,1,0,0,0,0.05376164203715583
261,M15120,M,298.2,308.3,1522,49.1,22,0,0,0,0,0,0,0,0.12080808211410221
262,L47441,L,298.1,308.2,1654,32.1,25,0,0,0,0,0,0,0,0.11645589294303255
263,M15122,M,298.1,308.2,1736,26.8,27,0,0,0,0,0,0,0,0.09917178988541941
264,M15123,M,298.0,308.1,1587,32.3,30,0,0,0,0,0,0,0,0.1310395622317133
265,L47444,L,298.1,308.2,1390,47.5,33,0,0,0,0,0,0,0,0.12806899093483431
266,L47445,L,298.0,308.1,1454,37.1,35,0,0,0,0,0,0,0,0.13967006202491383
267,H29680,H,298.0,308.1,1440,43.7,37,0,0,0,0,0,0,0,0.14205081543489012
268,L47447,L,297.9,308.0,1954,21.1,42,0,0,0,0,0,0,0,0.02333051549103682
269,H29682,H,297.9,308.0,1800,24.8,44,0,0,0,0,0,0,0,0.07240465120894135
270,L47449,L,298.0,308.0,1524,37.0,49,0,0,0,0,0,0,0,0.14262352202451528
271,H29684,H,298.0,308.0,1520,39.6,51,0,0,0,0,0,0,0,0.14406917415401232
272,M15131,M,298.1,308.1,1452,40.8,56,0,0,0,0,0,0,0,0.15086041255863392
273,L47452,L,298.1,308.1,1484,40.4,59,0,0,0,0,0,0,0,0.1544647089194443
274,L47453,L,298.1,308.0,1426,46.0,61,0,0,0,0,0,0,0,0.14103989787427096
275,L47454,L,298.1,308.0,1652,28.5,63,0,0,0,0,0,0,0,0.11659261974856722
276,L47455,L,298.0,308.0,1401,54.7,65,0,0,0,0,0,0,0,0.11146141391922143
277,M15136,M,298.0,307.9,1750,26.6,67,0,0,0,0,0,0,0,0.09866408950186517
278,H29691,H,298.0,308.0,1479,50.7,70,0,0,0,0,0,0,0,0.12867415508980984
279,M15138,M,298.0,308.0,1620,29.4,75,0,0,0,0,0,0,0,0.1216281890675669
280,L47459,L,298.0,308.1,1819,23.4,78,0,0,0,0,0,0,0,0.07891319148718234
281,M15140,M,298.1,308.1,1456,43.7,80,0,0,0,0,0,0,0,0.15474206981843097
282,L47461,L,298.1,308.0,1626,36.5,83,0,0,0,0,0,0,0,0.13408169642719858
283,M15142,M,298.1,308.1,1390,49.8,85,0,0,0,0,0,0,0,0.13302023276416658
284,L47463,L,298.2,308.2,1469,43.0,88,0,0,0,0,0,0,0,0.16146255510879737
285,L47464,L,298.2,308.3,2051,19.2,90,0,0,0,0,0,0,0,0.031578768325368545
286,L47465,L,298.2,308.3,1568,36.0,92,0,0,0,0,0,0,0,0.15221137076745073
287,L47466,L,298.2,308.3,1589,33.2,94,0,0,0,0,0,0,0,0.1487446224651991
288,L47467,L,298.2,308.3,1805,31.6,96,0,0,0,0,0,0,0,0.1096336370512927
289,H29702,H,298.2,308.4,1385,42.2,98,0,0,0,0,0,0,0,0.1535833704252878
290,L47469,L,298.1,308.4,1436,46.7,103,0,0,0,0,0,0,0,0.15758055924572983
